item,Begin_date,End_date,Localisation,Website,itemLabel,itemDescription,LocalisationLabel,Online_information
https://database.factgrid.de/entity/Q396825,2014-03-25T00:00:00Z,2014-03-28T00:00:00Z,https://database.factgrid.de/entity/Q10442,https://www.dhd2014.uni-passau.de/,DHd 2014,"1. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Methodischer Brückenschlag oder ""feindliche Übernahme""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik",Passau,
https://database.factgrid.de/entity/Q396824,2015-02-23T00:00:00Z,2015-03-27T00:00:00Z,https://database.factgrid.de/entity/Q80783,https://dhd2015.uni-graz.at/de/,DHd 2015,2. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation,Graz,https://doi.org/10.5281/zenodo.3684491
https://database.factgrid.de/entity/Q396823,2016-03-07T00:00:00Z,2016-03-12T00:00:00Z,https://database.factgrid.de/entity/Q10408,https://dhd2016.de/,DHd 2016,3. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Modellierung – Vernetzung – Visualisierung: Die Digital Humanities als fächerübergreifendes Forschungsparadigma,Leipzig,https://zenodo.org/record/3679331
https://database.factgrid.de/entity/Q396822,2017-02-13T00:00:00Z,2017-02-18T00:00:00Z,https://database.factgrid.de/entity/Q22556,https://dhd2017.dig-hum.de/,DHd 2017,4. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Digitale Nachhaltigkeit,Bern,https://zenodo.org/record/3684825
https://database.factgrid.de/entity/Q396821,2018-02-26T00:00:00Z,2018-03-02T00:00:00Z,https://database.factgrid.de/entity/Q10400,https://dhd2018.uni-koeln.de/,DHd 2018,5. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Kritik der digitalen Vernunft,Köln,https://zenodo.org/record/3684897
https://database.factgrid.de/entity/Q396820,2019-03-25T00:00:00Z,2019-03-29T00:00:00Z,https://database.factgrid.de/entity/Q10353,https://dhd2019.dig-hum.de/,DHd 2019,6. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Digital Humanities: multimedial & multimodal,Frankfurt am Main,https://zenodo.org/record/2596095
https://database.factgrid.de/entity/Q396819,2020-03-02T00:00:00Z,2020-03-06T00:00:00Z,https://database.factgrid.de/entity/Q21702,https://dhd2020.dig-hum.de/,DHd 2020,7. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Spielräume – Digital Humanities zwischen Modellierung und Interpretation,Paderborn,https://zenodo.org/record/3666690
https://database.factgrid.de/entity/Q396080,2022-03-07T00:00:00Z,2022-03-11T00:00:00Z,https://database.factgrid.de/entity/Q394349,https://www.dhd2022.de/,DHd 2022,8. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Kulturen des digitalen Gedächtnisses,Online Veranstaltung,https://zenodo.org/record/6304590
https://database.factgrid.de/entity/Q538636,2023-03-13T00:00:00Z,2023-03-17T00:00:00Z,https://database.factgrid.de/entity/Q10483,https://dhd2023.dig-hum.de/,DHd 2023,"9. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Open Humanities, Open Culture",Trier,https://zenodo.org/record/7688632
https://database.factgrid.de/entity/Q538636,2023-03-13T00:00:00Z,2023-03-17T00:00:00Z,https://database.factgrid.de/entity/Q538637,https://dhd2023.dig-hum.de/,DHd 2023,"9. Jahrestagung des Verbands »Digital Humanities im deutschsprachigen Raum«: Open Humanities, Open Culture",Belval,https://zenodo.org/record/7688632
https://database.factgrid.de/entity/Q907865,2024-02-26T00:00:00Z,2024-03-01T00:00:00Z,https://database.factgrid.de/entity/Q10442,https://dhd2024.dig-hum.de/,DHd 2024,10th Jahreskonferenz des Vereins “Digital Humanities in German-speaking countries”: Quo Vadis DH,Passau,
https://database.factgrid.de/entity/Q907864,2025-03-03T00:00:00Z,2025-03-07T00:00:00Z,https://database.factgrid.de/entity/Q21454,https://dhd2025.dig-hum.de/,DHd 2025,"""Under Construction. Digitale Geisteswissenschaften im Auf- und Umbau""",Bielefeld,https://dhd-blog.org/?p=20963
https://database.factgrid.de/entity/Q907866,2026-02-23T00:00:00Z,2026-02-27T00:00:00Z,https://database.factgrid.de/entity/Q10497,https://dhd2026.digitalhumanities.de/,"DHd 2026 ""Not Only Text, Not Only Data"", Vienna, 2026-02-23/27","12th annual conference of the association “Digital Humanities in German-speaking countries”: „Not Only Text, Not Only Data“",Wien,https://mydhd.grid-creators.com
